StockCode,date,units,horizon_step,prediction,model,fold,origin
23166,2011-05-22,393.0,4,0.0,Naive (last week),1,2011-04-24
23843,2011-05-01,0.0,1,0.0,Naive (last week),1,2011-04-24
23843,2011-05-08,0.0,2,0.0,Naive (last week),1,2011-04-24
23843,2011-05-15,0.0,3,0.0,Naive (last week),1,2011-04-24
23843,2011-05-22,0.0,4,0.0,Naive (last week),1,2011-04-24
47566,2011-05-01,276.0,1,648.0,Naive (last week),1,2011-04-24
47566,2011-05-08,984.0,2,648.0,Naive (last week),1,2011-04-24
47566,2011-05-15,756.0,3,648.0,Naive (last week),1,2011-04-24
47566,2011-05-22,754.0,4,648.0,Naive (last week),1,2011-04-24
71459,2011-05-01,233.0,1,262.0,Naive (last week),1,2011-04-24
71459,2011-05-08,788.0,2,262.0,Naive (last week),1,2011-04-24
71459,2011-05-15,604.0,3,262.0,Naive (last week),1,2011-04-24
71459,2011-05-22,264.0,4,262.0,Naive (last week),1,2011-04-24
84077,2011-05-01,2592.0,1,1927.0,Naive (last week),1,2011-04-24
84077,2011-05-08,917.0,2,1927.0,Naive (last week),1,2011-04-24
84077,2011-05-15,1248.0,3,1927.0,Naive (last week),1,2011-04-24
84077,2011-05-22,1008.0,4,1927.0,Naive (last week),1,2011-04-24
84347,2011-05-01,0.0,1,6.0,Naive (last week),1,2011-04-24
84347,2011-05-08,0.0,2,6.0,Naive (last week),1,2011-04-24
84347,2011-05-15,48.0,3,6.0,Naive (last week),1,2011-04-24
84347,2011-05-22,0.0,4,6.0,Naive (last week),1,2011-04-24
84568,2011-05-01,0.0,1,36.0,Naive (last week),1,2011-04-24
84568,2011-05-08,19.0,2,36.0,Naive (last week),1,2011-04-24
84568,2011-05-15,308.0,3,36.0,Naive (last week),1,2011-04-24
84568,2011-05-22,288.0,4,36.0,Naive (last week),1,2011-04-24
84755,2011-05-01,298.0,1,604.0,Naive (last week),1,2011-04-24
84755,2011-05-08,792.0,2,604.0,Naive (last week),1,2011-04-24
84755,2011-05-15,724.0,3,604.0,Naive (last week),1,2011-04-24
84755,2011-05-22,722.0,4,604.0,Naive (last week),1,2011-04-24
84879,2011-05-01,264.0,1,612.0,Naive (last week),1,2011-04-24
84879,2011-05-08,594.0,2,612.0,Naive (last week),1,2011-04-24
84879,2011-05-15,1201.0,3,612.0,Naive (last week),1,2011-04-24
84879,2011-05-22,595.0,4,612.0,Naive (last week),1,2011-04-24
84946,2011-05-01,161.0,1,259.0,Naive (last week),1,2011-04-24
84946,2011-05-08,380.0,2,259.0,Naive (last week),1,2011-04-24
84946,2011-05-15,242.0,3,259.0,Naive (last week),1,2011-04-24
84946,2011-05-22,411.0,4,259.0,Naive (last week),1,2011-04-24
84970S,2011-05-01,220.0,1,367.0,Naive (last week),1,2011-04-24
84970S,2011-05-08,228.0,2,367.0,Naive (last week),1,2011-04-24
84970S,2011-05-15,332.0,3,367.0,Naive (last week),1,2011-04-24
84970S,2011-05-22,339.0,4,367.0,Naive (last week),1,2011-04-24
84991,2011-05-01,246.0,1,1182.0,Naive (last week),1,2011-04-24
84991,2011-05-08,265.0,2,1182.0,Naive (last week),1,2011-04-24
84991,2011-05-15,532.0,3,1182.0,Naive (last week),1,2011-04-24
84991,2011-05-22,232.0,4,1182.0,Naive (last week),1,2011-04-24
84992,2011-05-01,43.0,1,562.0,Naive (last week),1,2011-04-24
84992,2011-05-08,207.0,2,562.0,Naive (last week),1,2011-04-24
84992,2011-05-15,231.0,3,562.0,Naive (last week),1,2011-04-24
84992,2011-05-22,88.0,4,562.0,Naive (last week),1,2011-04-24
85099B,2011-05-01,385.0,1,549.0,Naive (last week),1,2011-04-24
85099B,2011-05-08,380.0,2,549.0,Naive (last week),1,2011-04-24
85099B,2011-05-15,1206.0,3,549.0,Naive (last week),1,2011-04-24
85099B,2011-05-22,978.0,4,549.0,Naive (last week),1,2011-04-24
85099C,2011-05-01,278.0,1,147.0,Naive (last week),1,2011-04-24
85099C,2011-05-08,268.0,2,147.0,Naive (last week),1,2011-04-24
85099C,2011-05-15,246.0,3,147.0,Naive (last week),1,2011-04-24
85099C,2011-05-22,302.0,4,147.0,Naive (last week),1,2011-04-24
85099F,2011-05-01,100.0,1,6.0,Naive (last week),1,2011-04-24
85099F,2011-05-08,0.0,2,6.0,Naive (last week),1,2011-04-24
85099F,2011-05-15,428.0,3,6.0,Naive (last week),1,2011-04-24
85099F,2011-05-22,142.0,4,6.0,Naive (last week),1,2011-04-24
85123A,2011-05-01,375.0,1,2422.0,Naive (last week),1,2011-04-24
85123A,2011-05-08,1144.0,2,2422.0,Naive (last week),1,2011-04-24
85123A,2011-05-15,892.0,3,2422.0,Naive (last week),1,2011-04-24
85123A,2011-05-22,794.0,4,2422.0,Naive (last week),1,2011-04-24
15036,2011-05-01,793.0,1,832.0,Seasonal naive (52w),1,2011-04-24
15036,2011-05-08,972.0,2,468.0,Seasonal naive (52w),1,2011-04-24
15036,2011-05-15,1618.0,3,1179.0,Seasonal naive (52w),1,2011-04-24
15036,2011-05-22,1643.0,4,74.0,Seasonal naive (52w),1,2011-04-24
16014,2011-05-01,10.0,1,0.0,Seasonal naive (52w),1,2011-04-24
16014,2011-05-08,2621.0,2,0.0,Seasonal naive (52w),1,2011-04-24
16014,2011-05-15,130.0,3,0.0,Seasonal naive (52w),1,2011-04-24
16014,2011-05-22,0.0,4,0.0,Seasonal naive (52w),1,2011-04-24
17003,2011-05-01,267.0,1,721.0,Seasonal naive (52w),1,2011-04-24
17003,2011-05-08,78.0,2,828.0,Seasonal naive (52w),1,2011-04-24
17003,2011-05-15,510.0,3,2342.0,Seasonal naive (52w),1,2011-04-24
17003,2011-05-22,792.0,4,62.0,Seasonal naive (52w),1,2011-04-24
20724,2011-05-01,225.0,1,465.0,Seasonal naive (52w),1,2011-04-24
20724,2011-05-08,171.0,2,486.0,Seasonal naive (52w),1,2011-04-24
20724,2011-05-15,610.0,3,124.0,Seasonal naive (52w),1,2011-04-24
20724,2011-05-22,202.0,4,235.0,Seasonal naive (52w),1,2011-04-24
20725,2011-05-01,164.0,1,314.0,Seasonal naive (52w),1,2011-04-24
20725,2011-05-08,289.0,2,711.0,Seasonal naive (52w),1,2011-04-24
20725,2011-05-15,885.0,3,517.0,Seasonal naive (52w),1,2011-04-24
20725,2011-05-22,445.0,4,265.0,Seasonal naive (52w),1,2011-04-24
20727,2011-05-01,144.0,1,347.0,Seasonal naive (52w),1,2011-04-24
20727,2011-05-08,282.0,2,501.0,Seasonal naive (52w),1,2011-04-24
20727,2011-05-15,369.0,3,348.0,Seasonal naive (52w),1,2011-04-24
20727,2011-05-22,243.0,4,277.0,Seasonal naive (52w),1,2011-04-24
21080,2011-05-01,161.0,1,1361.0,Seasonal naive (52w),1,2011-04-24
21080,2011-05-08,212.0,2,666.0,Seasonal naive (52w),1,2011-04-24
21080,2011-05-15,349.0,3,243.0,Seasonal naive (52w),1,2011-04-24
21080,2011-05-22,303.0,4,291.0,Seasonal naive (52w),1,2011-04-24
21212,2011-05-01,315.0,1,1472.0,Seasonal naive (52w),1,2011-04-24
21212,2011-05-08,788.0,2,961.0,Seasonal naive (52w),1,2011-04-24
21212,2011-05-15,1647.0,3,912.0,Seasonal naive (52w),1,2011-04-24
21212,2011-05-22,599.0,4,939.0,Seasonal naive (52w),1,2011-04-24
21213,2011-05-01,152.0,1,354.0,Seasonal naive (52w),1,2011-04-24
21213,2011-05-08,362.0,2,267.0,Seasonal naive (52w),1,2011-04-24
21213,2011-05-15,176.0,3,317.0,Seasonal naive (52w),1,2011-04-24
21213,2011-05-22,82.0,4,577.0,Seasonal naive (52w),1,2011-04-24
21232,2011-05-01,214.0,1,446.0,Seasonal naive (52w),1,2011-04-24
21232,2011-05-08,262.0,2,658.0,Seasonal naive (52w),1,2011-04-24
21232,2011-05-15,136.0,3,711.0,Seasonal naive (52w),1,2011-04-24
21232,2011-05-22,329.0,4,288.0,Seasonal naive (52w),1,2011-04-24
21498,2011-05-01,50.0,1,400.0,Seasonal naive (52w),1,2011-04-24
21498,2011-05-08,775.0,2,50.0,Seasonal naive (52w),1,2011-04-24
21498,2011-05-15,100.0,3,175.0,Seasonal naive (52w),1,2011-04-24
21498,2011-05-22,100.0,4,225.0,Seasonal naive (52w),1,2011-04-24
21731,2011-05-01,65.0,1,260.0,Seasonal naive (52w),1,2011-04-24
21731,2011-05-08,46.0,2,249.0,Seasonal naive (52w),1,2011-04-24
21731,2011-05-15,186.0,3,849.0,Seasonal naive (52w),1,2011-04-24
21731,2011-05-22,548.0,4,236.0,Seasonal naive (52w),1,2011-04-24
21790,2011-05-01,68.0,1,150.0,Seasonal naive (52w),1,2011-04-24
21790,2011-05-08,161.0,2,59.0,Seasonal naive (52w),1,2011-04-24
21790,2011-05-15,269.0,3,200.0,Seasonal naive (52w),1,2011-04-24
21790,2011-05-22,133.0,4,273.0,Seasonal naive (52w),1,2011-04-24
21915,2011-05-01,364.0,1,583.0,Seasonal naive (52w),1,2011-04-24
21915,2011-05-08,152.0,2,62.0,Seasonal naive (52w),1,2011-04-24
21915,2011-05-15,160.0,3,941.0,Seasonal naive (52w),1,2011-04-24
21915,2011-05-22,312.0,4,37.0,Seasonal naive (52w),1,2011-04-24
21931,2011-05-01,129.0,1,355.0,Seasonal naive (52w),1,2011-04-24
21931,2011-05-08,181.0,2,269.0,Seasonal naive (52w),1,2011-04-24
21931,2011-05-15,463.0,3,592.0,Seasonal naive (52w),1,2011-04-24
21931,2011-05-22,196.0,4,206.0,Seasonal naive (52w),1,2011-04-24
21975,2011-05-01,39.0,1,360.0,Seasonal naive (52w),1,2011-04-24
21975,2011-05-08,158.0,2,364.0,Seasonal naive (52w),1,2011-04-24
21975,2011-05-15,414.0,3,272.0,Seasonal naive (52w),1,2011-04-24
21975,2011-05-22,59.0,4,192.0,Seasonal naive (52w),1,2011-04-24
21977,2011-05-01,255.0,1,1058.0,Seasonal naive (52w),1,2011-04-24
21977,2011-05-08,555.0,2,542.0,Seasonal naive (52w),1,2011-04-24
21977,2011-05-15,498.0,3,413.0,Seasonal naive (52w),1,2011-04-24
21977,2011-05-22,173.0,4,511.0,Seasonal naive (52w),1,2011-04-24
21980,2011-05-01,144.0,1,101.0,Seasonal naive (52w),1,2011-04-24
21980,2011-05-08,230.0,2,295.0,Seasonal naive (52w),1,2011-04-24
21980,2011-05-15,120.0,3,300.0,Seasonal naive (52w),1,2011-04-24
21980,2011-05-22,605.0,4,124.0,Seasonal naive (52w),1,2011-04-24
21981,2011-05-01,168.0,1,161.0,Seasonal naive (52w),1,2011-04-24
21981,2011-05-08,489.0,2,200.0,Seasonal naive (52w),1,2011-04-24
21981,2011-05-15,79.0,3,101.0,Seasonal naive (52w),1,2011-04-24
21981,2011-05-22,61.0,4,242.0,Seasonal naive (52w),1,2011-04-24
21982,2011-05-01,144.0,1,738.0,Seasonal naive (52w),1,2011-04-24
21982,2011-05-08,84.0,2,72.0,Seasonal naive (52w),1,2011-04-24
21982,2011-05-15,93.0,3,147.0,Seasonal naive (52w),1,2011-04-24
21982,2011-05-22,603.0,4,5247.0,Seasonal naive (52w),1,2011-04-24
22086,2011-05-01,0.0,1,18.0,Seasonal naive (52w),1,2011-04-24
22086,2011-05-08,4.0,2,46.0,Seasonal naive (52w),1,2011-04-24
22086,2011-05-15,13.0,3,6.0,Seasonal naive (52w),1,2011-04-24
22086,2011-05-22,0.0,4,6.0,Seasonal naive (52w),1,2011-04-24
22151,2011-05-01,394.0,1,136.0,Seasonal naive (52w),1,2011-04-24
22151,2011-05-08,575.0,2,181.0,Seasonal naive (52w),1,2011-04-24
22151,2011-05-15,610.0,3,705.0,Seasonal naive (52w),1,2011-04-24
22151,2011-05-22,320.0,4,72.0,Seasonal naive (52w),1,2011-04-24
22178,2011-05-01,95.0,1,134.0,Seasonal naive (52w),1,2011-04-24
22178,2011-05-08,600.0,2,323.0,Seasonal naive (52w),1,2011-04-24
22178,2011-05-15,596.0,3,561.0,Seasonal naive (52w),1,2011-04-24
22178,2011-05-22,763.0,4,225.0,Seasonal naive (52w),1,2011-04-24
22197,2011-05-01,310.0,1,500.0,Seasonal naive (52w),1,2011-04-24
22197,2011-05-08,372.0,2,203.0,Seasonal naive (52w),1,2011-04-24
22197,2011-05-15,381.0,3,180.0,Seasonal naive (52w),1,2011-04-24
22197,2011-05-22,1300.0,4,192.0,Seasonal naive (52w),1,2011-04-24
22355,2011-05-01,179.0,1,198.0,Seasonal naive (52w),1,2011-04-24
22355,2011-05-08,173.0,2,347.0,Seasonal naive (52w),1,2011-04-24
22355,2011-05-15,578.0,3,147.0,Seasonal naive (52w),1,2011-04-24
22355,2011-05-22,247.0,4,200.0,Seasonal naive (52w),1,2011-04-24
22386,2011-05-01,282.0,1,386.0,Seasonal naive (52w),1,2011-04-24
22386,2011-05-08,154.0,2,751.0,Seasonal naive (52w),1,2011-04-24
22386,2011-05-15,401.0,3,300.0,Seasonal naive (52w),1,2011-04-24
22386,2011-05-22,179.0,4,512.0,Seasonal naive (52w),1,2011-04-24
22411,2011-05-01,162.0,1,303.0,Seasonal naive (52w),1,2011-04-24
22411,2011-05-08,169.0,2,309.0,Seasonal naive (52w),1,2011-04-24
22411,2011-05-15,525.0,3,378.0,Seasonal naive (52w),1,2011-04-24
22411,2011-05-22,404.0,4,98.0,Seasonal naive (52w),1,2011-04-24
22423,2011-05-01,325.0,1,280.0,Seasonal naive (52w),1,2011-04-24
22423,2011-05-08,171.0,2,311.0,Seasonal naive (52w),1,2011-04-24
22423,2011-05-15,366.0,3,132.0,Seasonal naive (52w),1,2011-04-24
22423,2011-05-22,307.0,4,28.0,Seasonal naive (52w),1,2011-04-24
22469,2011-05-01,0.0,1,218.0,Seasonal naive (52w),1,2011-04-24
22469,2011-05-08,0.0,2,145.0,Seasonal naive (52w),1,2011-04-24
22469,2011-05-15,0.0,3,391.0,Seasonal naive (52w),1,2011-04-24
22469,2011-05-22,783.0,4,262.0,Seasonal naive (52w),1,2011-04-24
22492,2011-05-01,180.0,1,0.0,Seasonal naive (52w),1,2011-04-24
22492,2011-05-08,216.0,2,900.0,Seasonal naive (52w),1,2011-04-24
22492,2011-05-15,795.0,3,544.0,Seasonal naive (52w),1,2011-04-24
22492,2011-05-22,469.0,4,720.0,Seasonal naive (52w),1,2011-04-24
22616,2011-05-01,216.0,1,0.0,Seasonal naive (52w),1,2011-04-24
22616,2011-05-08,128.0,2,492.0,Seasonal naive (52w),1,2011-04-24
22616,2011-05-15,130.0,3,339.0,Seasonal naive (52w),1,2011-04-24
22616,2011-05-22,1120.0,4,316.0,Seasonal naive (52w),1,2011-04-24
22952,2011-05-01,1.0,1,0.0,Seasonal naive (52w),1,2011-04-24
22952,2011-05-08,0.0,2,0.0,Seasonal naive (52w),1,2011-04-24
22952,2011-05-15,1.0,3,0.0,Seasonal naive (52w),1,2011-04-24
22952,2011-05-22,0.0,4,0.0,Seasonal naive (52w),1,2011-04-24
23084,2011-05-01,0.0,1,0.0,Seasonal naive (52w),1,2011-04-24
23084,2011-05-08,0.0,2,0.0,Seasonal naive (52w),1,2011-04-24
23084,2011-05-15,344.0,3,0.0,Seasonal naive (52w),1,2011-04-24
23084,2011-05-22,256.0,4,0.0,Seasonal naive (52w),1,2011-04-24
23166,2011-05-01,0.0,1,0.0,Seasonal naive (52w),1,2011-04-24
23166,2011-05-08,0.0,2,0.0,Seasonal naive (52w),1,2011-04-24
23166,2011-05-15,192.0,3,0.0,Seasonal naive (52w),1,2011-04-24
23166,2011-05-22,393.0,4,0.0,Seasonal naive (52w),1,2011-04-24
23843,2011-05-01,0.0,1,0.0,Seasonal naive (52w),1,2011-04-24
23843,2011-05-08,0.0,2,0.0,Seasonal naive (52w),1,2011-04-24
23843,2011-05-15,0.0,3,0.0,Seasonal naive (52w),1,2011-04-24
23843,2011-05-22,0.0,4,0.0,Seasonal naive (52w),1,2011-04-24
47566,2011-05-01,276.0,1,418.0,Seasonal naive (52w),1,2011-04-24
47566,2011-05-08,984.0,2,565.0,Seasonal naive (52w),1,2011-04-24
47566,2011-05-15,756.0,3,442.0,Seasonal naive (52w),1,2011-04-24
47566,2011-05-22,754.0,4,450.0,Seasonal naive (52w),1,2011-04-24
71459,2011-05-01,233.0,1,1468.0,Seasonal naive (52w),1,2011-04-24
71459,2011-05-08,788.0,2,326.0,Seasonal naive (52w),1,2011-04-24
71459,2011-05-15,604.0,3,782.0,Seasonal naive (52w),1,2011-04-24
71459,2011-05-22,264.0,4,795.0,Seasonal naive (52w),1,2011-04-24
84077,2011-05-01,2592.0,1,672.0,Seasonal naive (52w),1,2011-04-24
84077,2011-05-08,917.0,2,240.0,Seasonal naive (52w),1,2011-04-24
84077,2011-05-15,1248.0,3,1824.0,Seasonal naive (52w),1,2011-04-24
84077,2011-05-22,1008.0,4,528.0,Seasonal naive (52w),1,2011-04-24
84347,2011-05-01,0.0,1,0.0,Seasonal naive (52w),1,2011-04-24
84347,2011-05-08,0.0,2,0.0,Seasonal naive (52w),1,2011-04-24
84347,2011-05-15,48.0,3,0.0,Seasonal naive (52w),1,2011-04-24
84347,2011-05-22,0.0,4,0.0,Seasonal naive (52w),1,2011-04-24
84568,2011-05-01,0.0,1,620.0,Seasonal naive (52w),1,2011-04-24
84568,2011-05-08,19.0,2,362.0,Seasonal naive (52w),1,2011-04-24
84568,2011-05-15,308.0,3,0.0,Seasonal naive (52w),1,2011-04-24
84568,2011-05-22,288.0,4,7.0,Seasonal naive (52w),1,2011-04-24
84755,2011-05-01,298.0,1,1112.0,Seasonal naive (52w),1,2011-04-24
84755,2011-05-08,792.0,2,1038.0,Seasonal naive (52w),1,2011-04-24
84755,2011-05-15,724.0,3,1776.0,Seasonal naive (52w),1,2011-04-24
84755,2011-05-22,722.0,4,535.0,Seasonal naive (52w),1,2011-04-24
84879,2011-05-01,264.0,1,919.0,Seasonal naive (52w),1,2011-04-24
84879,2011-05-08,594.0,2,342.0,Seasonal naive (52w),1,2011-04-24
