date,StockCode,description,units,revenue,avg_price,n_invoices,n_customers
2010-06-06,15036,ASSORTED COLOURS SILK FAN,404.0,290.13,0.9118095238095238,13.0,9.0
2010-06-13,15036,ASSORTED COLOURS SILK FAN,1094.0,761.56,0.792108843537415,20.0,16.0
2010-06-20,15036,ASSORTED COLOURS SILK FAN,232.0,176.12,0.8130952380952381,16.0,13.0
2010-06-27,15036,ASSORTED COLOURS SILK FAN,1571.0,1011.52,0.8434761904761905,25.0,21.0
2010-07-04,15036,ASSORTED COLOURS SILK FAN,1333.0,960.95,0.8503537414965986,22.0,15.0
2010-07-11,15036,ASSORTED COLOURS SILK FAN,943.0,663.6800000000001,0.8959761904761905,16.0,11.0
2010-07-18,15036,ASSORTED COLOURS SILK FAN,577.0,480.91999999999996,0.8536190476190476,25.0,19.0
2010-07-25,15036,ASSORTED COLOURS SILK FAN,1784.0,1247.68,0.9660884353741498,21.0,16.0
2010-08-01,15036,ASSORTED COLOURS SILK FAN,112.0,105.2,0.8257142857142857,3.0,2.0
2010-08-08,15036,ASSORTED COLOURS SILK FAN,168.0,195.96,1.2042857142857142,6.0,1.0
2010-08-15,15036,ASSORTED COLOURS SILK FAN,77.0,92.2,1.2042857142857142,5.0,1.0
2010-08-22,15036,ASSORTED COLOURS SILK FAN,0.0,0.0,0.75,0.0,0.0
2010-08-29,15036,ASSORTED COLOURS SILK FAN,18.0,16.68,1.0150000000000001,3.0,0.0
2010-09-05,15036,ASSORTED COLOURS SILK FAN,26.0,20.560000000000002,1.2421428571428572,3.0,1.0
2010-09-12,15036,ASSORTED COLOURS SILK FAN,2.0,2.56,1.28,1.0,0.0
2010-09-19,15036,ASSORTED COLOURS SILK FAN,3.0,3.8400000000000003,1.28,2.0,0.0
2010-09-26,15036,ASSORTED COLOURS SILK FAN,21.0,16.28,0.7878571428571429,4.0,1.0
2010-10-03,15036,ASSORTED COLOURS SILK FAN,23.0,25.2,1.052857142857143,2.0,0.0
2010-10-10,15036,ASSORTED COLOURS SILK FAN,0.0,0.0,1.28,0.0,0.0
2010-10-17,15036,ASSORTED COLOURS SILK FAN,831.0,564.84,0.8619047619047618,8.0,6.0
2010-10-24,15036,ASSORTED COLOURS SILK FAN,172.0,131.12,0.8383333333333335,10.0,7.0
2010-10-31,15036,ASSORTED COLOURS SILK FAN,2010.0,1394.28,1.0535714285714286,9.0,5.0
2010-11-07,15036,ASSORTED COLOURS SILK FAN,205.0,167.0,0.9771428571428571,7.0,3.0
2010-11-14,15036,ASSORTED COLOURS SILK FAN,130.0,115.52,1.0755714285714286,12.0,5.0
2010-11-21,15036,ASSORTED COLOURS SILK FAN,355.0,261.14,0.950857142857143,16.0,10.0
2010-11-28,15036,ASSORTED COLOURS SILK FAN,927.0,652.74,0.8564285714285714,17.0,12.0
2010-12-05,15036,ASSORTED COLOURS SILK FAN,205.0,167.0,0.8761904761904763,11.0,8.0
2010-12-12,15036,ASSORTED COLOURS SILK FAN,39.0,37.2,1.2421428571428572,7.0,1.0
2010-12-19,15036,ASSORTED COLOURS SILK FAN,35.0,32.08,1.052857142857143,6.0,2.0
2010-12-26,15036,ASSORTED COLOURS SILK FAN,30.0,25.68,0.8257142857142857,4.0,2.0
2011-01-02,15036,ASSORTED COLOURS SILK FAN,0.0,0.0,0.75,0.0,0.0
2011-01-09,15036,ASSORTED COLOURS SILK FAN,18.0,16.68,1.0150000000000001,4.0,1.0
2011-01-16,15036,ASSORTED COLOURS SILK FAN,159.0,133.44,1.1395238095238096,9.0,3.0
2011-01-23,15036,ASSORTED COLOURS SILK FAN,39.0,36.75,0.8928571428571429,3.0,2.0
2011-01-30,15036,ASSORTED COLOURS SILK FAN,112.0,86.0,1.0357142857142858,6.0,3.0
2011-02-06,15036,ASSORTED COLOURS SILK FAN,1913.0,1197.25,0.8937142857142858,12.0,8.0
2011-02-13,15036,ASSORTED COLOURS SILK FAN,68.0,79.16,1.3714285714285714,3.0,1.0
2011-02-20,15036,ASSORTED COLOURS SILK FAN,762.0,537.9,1.0385714285714285,10.0,7.0
2011-02-27,15036,ASSORTED COLOURS SILK FAN,128.0,103.03999999999999,0.8128571428571428,7.0,6.0
2011-03-06,15036,ASSORTED COLOURS SILK FAN,91.0,106.09,1.4204761904761904,7.0,3.0
2011-03-13,15036,ASSORTED COLOURS SILK FAN,369.0,282.03,0.9385714285714286,9.0,6.0
2011-03-20,15036,ASSORTED COLOURS SILK FAN,1342.0,916.4200000000001,0.8334285714285714,12.0,8.0
2011-03-27,15036,ASSORTED COLOURS SILK FAN,99.0,119.13,1.3785714285714283,7.0,3.0
2011-04-03,15036,ASSORTED COLOURS SILK FAN,1253.0,868.07,1.0333333333333334,7.0,4.0
2011-04-10,15036,ASSORTED COLOURS SILK FAN,147.0,134.49,1.2917142857142856,7.0,4.0
2011-04-17,15036,ASSORTED COLOURS SILK FAN,864.0,651.12,0.8260714285714286,11.0,11.0
2011-04-24,15036,ASSORTED COLOURS SILK FAN,174.0,158.01999999999998,0.9519047619047619,16.0,10.0
2011-05-01,15036,ASSORTED COLOURS SILK FAN,793.0,593.59,0.8130952380952381,7.0,5.0
2011-05-08,15036,ASSORTED COLOURS SILK FAN,972.0,749.56,1.0451190476190475,12.0,7.0
2011-05-15,15036,ASSORTED COLOURS SILK FAN,1618.0,1234.94,0.8267857142857142,27.0,18.0
2011-05-22,15036,ASSORTED COLOURS SILK FAN,1643.0,1238.8899999999999,0.9095238095238095,22.0,18.0
2011-05-29,15036,ASSORTED COLOURS SILK FAN,397.0,416.71,1.0204761904761903,10.0,7.0
2011-06-05,15036,ASSORTED COLOURS SILK FAN,193.0,183.19,1.1354285714285715,12.0,7.0
2011-06-12,15036,ASSORTED COLOURS SILK FAN,1610.0,1240.6999999999998,1.1975714285714285,18.0,12.0
2011-06-19,15036,ASSORTED COLOURS SILK FAN,1285.0,1063.75,0.970612244897959,19.0,16.0
2011-06-26,15036,ASSORTED COLOURS SILK FAN,169.0,160.26999999999998,1.1004761904761904,17.0,11.0
2011-07-03,15036,ASSORTED COLOURS SILK FAN,167.0,147.41,1.0014285714285713,8.0,6.0
2011-07-10,15036,ASSORTED COLOURS SILK FAN,1938.0,1433.74,1.3009523809523809,14.0,6.0
2011-07-17,15036,ASSORTED COLOURS SILK FAN,352.0,295.36,1.0814285714285714,14.0,12.0
2011-07-24,15036,ASSORTED COLOURS SILK FAN,510.0,447.29999999999995,0.9252380952380952,16.0,13.0
2011-07-31,15036,ASSORTED COLOURS SILK FAN,638.0,474.74,1.2714285714285716,7.0,3.0
2011-08-07,15036,ASSORTED COLOURS SILK FAN,943.0,785.8899999999999,0.9594047619047619,11.0,8.0
2011-08-14,15036,ASSORTED COLOURS SILK FAN,268.0,235.23999999999998,1.1157142857142854,13.0,9.0
2011-08-21,15036,ASSORTED COLOURS SILK FAN,60.0,49.8,0.8585714285714285,4.0,4.0
2011-08-28,15036,ASSORTED COLOURS SILK FAN,60.0,49.8,0.83,3.0,3.0
2011-09-04,15036,ASSORTED COLOURS SILK FAN,181.0,232.14999999999998,1.2714285714285716,20.0,3.0
2011-09-11,15036,ASSORTED COLOURS SILK FAN,215.0,187.25,0.9442857142857142,7.0,5.0
2011-09-18,15036,ASSORTED COLOURS SILK FAN,64.0,56.32,0.868095238095238,5.0,4.0
2011-09-25,15036,ASSORTED COLOURS SILK FAN,93.0,84.39,0.9157142857142857,6.0,3.0
2011-10-02,15036,ASSORTED COLOURS SILK FAN,30.0,29.699999999999996,1.23,5.0,2.0
2011-10-09,15036,ASSORTED COLOURS SILK FAN,721.0,533.23,0.8792857142857142,8.0,7.0
2011-10-16,15036,ASSORTED COLOURS SILK FAN,224.0,192.32,1.1157142857142857,11.0,7.0
2011-10-23,15036,ASSORTED COLOURS SILK FAN,194.0,172.21999999999997,1.0395238095238095,10.0,7.0
2011-10-30,15036,ASSORTED COLOURS SILK FAN,101.0,87.82999999999998,1.0585714285714285,6.0,3.0
2011-11-06,15036,ASSORTED COLOURS SILK FAN,83.0,87.28999999999999,1.4776190476190476,8.0,3.0
2011-11-13,15036,ASSORTED COLOURS SILK FAN,107.0,97.60999999999999,1.1728571428571428,9.0,7.0
2011-11-20,15036,ASSORTED COLOURS SILK FAN,104.0,92.72,1.0395238095238095,9.0,5.0
2011-11-27,15036,ASSORTED COLOURS SILK FAN,237.0,203.91,1.1538095238095238,12.0,8.0
2011-12-04,15036,ASSORTED COLOURS SILK FAN,143.0,127.49,1.2871428571428571,9.0,5.0
2009-12-13,16014,SMALL CHINESE STYLE SCISSOR,1510.0,484.2,0.3485714285714286,2.0,2.0
2009-12-20,16014,SMALL CHINESE STYLE SCISSOR,3010.0,964.2,0.33428571428571424,2.0,2.0
2009-12-27,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2010-01-03,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2010-01-10,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2010-01-17,16014,SMALL CHINESE STYLE SCISSOR,10.0,4.2,0.42,1.0,1.0
2010-01-24,16014,SMALL CHINESE STYLE SCISSOR,10.0,4.2,0.42,1.0,1.0
2010-01-31,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2010-02-07,16014,SMALL CHINESE STYLE SCISSOR,20.0,8.4,0.42,1.0,1.0
2010-02-14,16014,SMALL CHINESE STYLE SCISSOR,10.0,4.2,0.42,1.0,1.0
2010-02-21,16014,SMALL CHINESE STYLE SCISSOR,1.0,0.42,0.42,1.0,1.0
2010-02-28,16014,SMALL CHINESE STYLE SCISSOR,3.0,1.26,0.42,1.0,1.0
2010-03-07,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2010-03-14,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2010-03-21,16014,SMALL CHINESE STYLE SCISSOR,1010.0,324.2,0.4057142857142857,2.0,2.0
2010-03-28,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.32,0.0,0.0
2010-04-04,16014,SMALL CHINESE STYLE SCISSOR,60.0,25.2,0.37714285714285717,1.0,1.0
2010-04-11,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2010-04-18,16014,SMALL CHINESE STYLE SCISSOR,10.0,4.2,0.42,1.0,1.0
2010-04-25,16014,SMALL CHINESE STYLE SCISSOR,50.0,21.0,0.42,2.0,2.0
2010-05-02,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2010-05-09,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2010-05-16,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2010-05-23,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2010-05-30,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2010-06-06,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2010-06-13,16014,SMALL CHINESE STYLE SCISSOR,1000.0,320.0,0.37714285714285717,1.0,1.0
2010-06-20,16014,SMALL CHINESE STYLE SCISSOR,2005.0,642.1,0.3914285714285714,2.0,2.0
2010-06-27,16014,SMALL CHINESE STYLE SCISSOR,1000.0,320.0,0.3485714285714286,1.0,1.0
2010-07-04,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.32,0.0,0.0
2010-07-11,16014,SMALL CHINESE STYLE SCISSOR,1.0,0.42,0.3914285714285714,1.0,1.0
2010-07-18,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2010-07-25,16014,SMALL CHINESE STYLE SCISSOR,500.0,160.0,0.4057142857142857,1.0,1.0
2010-08-01,16014,SMALL CHINESE STYLE SCISSOR,61.0,25.62,0.42,2.0,1.0
2010-08-08,16014,SMALL CHINESE STYLE SCISSOR,10.0,4.2,0.42,1.0,1.0
2010-08-15,16014,SMALL CHINESE STYLE SCISSOR,20.0,8.4,0.42,1.0,1.0
2010-08-22,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2010-08-29,16014,SMALL CHINESE STYLE SCISSOR,1010.0,324.2,0.4057142857142857,2.0,2.0
2010-09-05,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2010-09-12,16014,SMALL CHINESE STYLE SCISSOR,20.0,8.4,0.42,1.0,1.0
2010-09-19,16014,SMALL CHINESE STYLE SCISSOR,500.0,160.0,0.37714285714285717,1.0,1.0
2010-09-26,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.32,0.0,0.0
2010-10-03,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.32,0.0,0.0
2010-10-10,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.32,0.0,0.0
2010-10-17,16014,SMALL CHINESE STYLE SCISSOR,20.0,6.4,0.32,1.0,1.0
2010-10-24,16014,SMALL CHINESE STYLE SCISSOR,40.0,16.8,0.37714285714285717,1.0,1.0
2010-10-31,16014,SMALL CHINESE STYLE SCISSOR,4100.0,1322.0,0.37714285714285717,3.0,3.0
2010-11-07,16014,SMALL CHINESE STYLE SCISSOR,10.0,4.2,0.33428571428571424,1.0,1.0
2010-11-14,16014,SMALL CHINESE STYLE SCISSOR,6.0,2.52,0.42,2.0,2.0
2010-11-21,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2010-11-28,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2010-12-05,16014,SMALL CHINESE STYLE SCISSOR,28.0,11.76,0.42,2.0,2.0
2010-12-12,16014,SMALL CHINESE STYLE SCISSOR,2002.0,640.84,0.4057142857142857,2.0,2.0
2010-12-19,16014,SMALL CHINESE STYLE SCISSOR,14.0,5.88,0.42,2.0,2.0
2010-12-26,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2011-01-02,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2011-01-09,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2011-01-16,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2011-01-23,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2011-01-30,16014,SMALL CHINESE STYLE SCISSOR,10.0,4.2,0.42,1.0,1.0
2011-02-06,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2011-02-13,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2011-02-20,16014,SMALL CHINESE STYLE SCISSOR,1500.0,480.0,0.33428571428571424,1.0,1.0
2011-02-27,16014,SMALL CHINESE STYLE SCISSOR,1.0,0.42,0.4057142857142857,1.0,1.0
2011-03-06,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2011-03-13,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2011-03-20,16014,SMALL CHINESE STYLE SCISSOR,60.0,25.2,0.42,1.0,1.0
2011-03-27,16014,SMALL CHINESE STYLE SCISSOR,1000.0,320.0,0.3485714285714286,1.0,1.0
2011-04-03,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.32,0.0,0.0
2011-04-10,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.32,0.0,0.0
2011-04-17,16014,SMALL CHINESE STYLE SCISSOR,10.0,4.2,0.3628571428571429,1.0,1.0
2011-04-24,16014,SMALL CHINESE STYLE SCISSOR,3.0,1.26,0.42,1.0,1.0
2011-05-01,16014,SMALL CHINESE STYLE SCISSOR,10.0,4.2,0.42,1.0,1.0
2011-05-08,16014,SMALL CHINESE STYLE SCISSOR,2621.0,840.8199999999999,0.3914285714285714,4.0,4.0
2011-05-15,16014,SMALL CHINESE STYLE SCISSOR,130.0,54.6,0.4057142857142857,3.0,3.0
2011-05-22,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2011-05-29,16014,SMALL CHINESE STYLE SCISSOR,20.0,8.4,0.42,1.0,1.0
2011-06-05,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2011-06-12,16014,SMALL CHINESE STYLE SCISSOR,20.0,6.4,0.3485714285714286,1.0,1.0
2011-06-19,16014,SMALL CHINESE STYLE SCISSOR,12.0,5.04,0.33428571428571424,1.0,1.0
2011-06-26,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2011-07-03,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2011-07-10,16014,SMALL CHINESE STYLE SCISSOR,20.0,8.4,0.42,1.0,1.0
2011-07-17,16014,SMALL CHINESE STYLE SCISSOR,40.0,16.8,0.42,2.0,2.0
2011-07-24,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2011-07-31,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2011-08-07,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2011-08-14,16014,SMALL CHINESE STYLE SCISSOR,10.0,4.2,0.42,1.0,1.0
2011-08-21,16014,SMALL CHINESE STYLE SCISSOR,1.0,0.42,0.42,1.0,1.0
2011-08-28,16014,SMALL CHINESE STYLE SCISSOR,2054.0,662.68,0.4128571428571428,5.0,5.0
2011-09-04,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2011-09-11,16014,SMALL CHINESE STYLE SCISSOR,1020.0,328.4,0.4057142857142857,2.0,2.0
2011-09-18,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2011-09-25,16014,SMALL CHINESE STYLE SCISSOR,40.0,16.8,0.42,2.0,2.0
2011-10-02,16014,SMALL CHINESE STYLE SCISSOR,1.0,0.42,0.42,1.0,1.0
2011-10-09,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2011-10-16,16014,SMALL CHINESE STYLE SCISSOR,20.0,8.4,0.42,2.0,2.0
2011-10-23,16014,SMALL CHINESE STYLE SCISSOR,20.0,8.4,0.42,1.0,1.0
2011-10-30,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2011-11-06,16014,SMALL CHINESE STYLE SCISSOR,3021.0,968.8199999999999,0.3914285714285714,3.0,3.0
2011-11-13,16014,SMALL CHINESE STYLE SCISSOR,10.0,4.2,0.42,1.0,1.0
2011-11-20,16014,SMALL CHINESE STYLE SCISSOR,0.0,0.0,0.42,0.0,0.0
2011-11-27,16014,SMALL CHINESE STYLE SCISSOR,514.0,165.88,0.3914285714285714,4.0,4.0
2011-12-04,16014,SMALL CHINESE STYLE SCISSOR,71.0,29.82,0.42,3.0,3.0
2009-12-13,17003,BROCADE RING PURSE,192.0,40.76,0.2414285714285714,8.0,7.0
2009-12-20,17003,BROCADE RING PURSE,425.0,90.57,0.2414285714285714,8.0,7.0
2009-12-27,17003,BROCADE RING PURSE,1.0,0.43,0.3985714285714286,1.0,0.0
2010-01-03,17003,BROCADE RING PURSE,0.0,0.0,0.43,0.0,0.0
2010-01-10,17003,BROCADE RING PURSE,2.0,0.42,0.2414285714285714,1.0,1.0
2010-01-17,17003,BROCADE RING PURSE,758.0,159.17999999999998,0.21,3.0,3.0
2010-01-24,17003,BROCADE RING PURSE,51.0,10.71,0.21,2.0,2.0
2010-01-31,17003,BROCADE RING PURSE,150.0,31.5,0.21,4.0,4.0
2010-02-07,17003,BROCADE RING PURSE,806.0,133.26,0.2064285714285714,3.0,3.0
2010-02-14,17003,BROCADE RING PURSE,151.0,31.71,0.2064285714285714,2.0,2.0
2010-02-21,17003,BROCADE RING PURSE,829.0,138.09,0.2064285714285714,4.0,4.0
2010-02-28,17003,BROCADE RING PURSE,109.0,23.11,0.2623809523809524,4.0,3.0
2010-03-07,17003,BROCADE RING PURSE,184.0,39.519999999999996,0.3619047619047619,4.0,2.0
2010-03-14,17003,BROCADE RING PURSE,21.0,4.85,0.27285714285714285,3.0,2.0
2010-03-21,17003,BROCADE RING PURSE,792.0,128.52,0.18142857142857144,3.0,3.0
2010-03-28,17003,BROCADE RING PURSE,0.0,0.0,0.16,0.0,0.0
2010-04-04,17003,BROCADE RING PURSE,0.0,0.0,0.16,0.0,0.0
2010-04-11,17003,BROCADE RING PURSE,61.0,12.809999999999999,0.16714285714285712,1.0,1.0
2010-04-18,17003,BROCADE RING PURSE,0.0,0.0,0.21,0.0,0.0
2010-04-25,17003,BROCADE RING PURSE,119.0,25.61,0.2657142857142857,5.0,3.0
2010-05-02,17003,BROCADE RING PURSE,721.0,115.63000000000001,0.2757142857142857,2.0,1.0
2010-05-09,17003,BROCADE RING PURSE,828.0,137.88,0.17785714285714288,2.0,2.0
2010-05-16,17003,BROCADE RING PURSE,2342.0,383.82,0.185,5.0,5.0
2010-05-23,17003,BROCADE RING PURSE,62.0,13.9,0.27285714285714285,5.0,3.0
2010-05-30,17003,BROCADE RING PURSE,738.0,118.98,0.20285714285714285,2.0,2.0
2010-06-06,17003,BROCADE RING PURSE,43.0,10.57,0.30428571428571427,3.0,1.0
2010-06-13,17003,BROCADE RING PURSE,1289.0,234.69,0.20857142857142857,12.0,12.0
2010-06-20,17003,BROCADE RING PURSE,309.0,66.21,0.2571428571428572,8.0,6.0
2010-06-27,17003,BROCADE RING PURSE,987.0,171.27,0.20047619047619047,5.0,4.0
2010-07-04,17003,BROCADE RING PURSE,758.0,109.22000000000001,0.22142857142857145,3.0,2.0
2010-07-11,17003,BROCADE RING PURSE,194.0,40.739999999999995,0.21,3.0,3.0
2010-07-18,17003,BROCADE RING PURSE,6.0,2.58,0.3985714285714286,1.0,0.0
2010-07-25,17003,BROCADE RING PURSE,775.0,130.49,0.38107142857142856,6.0,3.0
2010-08-01,17003,BROCADE RING PURSE,180.0,37.8,0.21,2.0,2.0
2010-08-08,17003,BROCADE RING PURSE,216.0,45.36,0.21,2.0,2.0
2010-08-15,17003,BROCADE RING PURSE,36.0,7.56,0.21,1.0,1.0
2010-08-22,17003,BROCADE RING PURSE,828.0,137.88,0.18142857142857144,4.0,4.0
2010-08-29,17003,BROCADE RING PURSE,864.0,145.44,0.20285714285714285,4.0,4.0
2010-09-05,17003,BROCADE RING PURSE,11210.0,2135.4199999999996,0.22,5.0,3.0
2010-09-12,17003,BROCADE RING PURSE,1590.0,261.9,0.20285714285714285,5.0,4.0
2010-09-19,17003,BROCADE RING PURSE,74.0,15.54,0.21,3.0,3.0
2010-09-26,17003,BROCADE RING PURSE,922.0,196.92,0.27285714285714285,6.0,4.0
2010-10-03,17003,BROCADE RING PURSE,149.0,33.27,0.22047619047619046,6.0,5.0
2010-10-10,17003,BROCADE RING PURSE,5632.0,1052.56,0.1985714285714286,7.0,6.0
2010-10-17,17003,BROCADE RING PURSE,925.0,158.91000000000003,0.22214285714285714,11.0,10.0
2010-10-24,17003,BROCADE RING PURSE,158.0,34.5,0.27285714285714285,6.0,4.0
2010-10-31,17003,BROCADE RING PURSE,36.0,7.56,0.21,1.0,1.0
2010-11-07,17003,BROCADE RING PURSE,6816.0,1305.3,0.2407142857142857,8.0,7.0
2010-11-14,17003,BROCADE RING PURSE,548.0,115.08,0.21,10.0,10.0
2010-11-21,17003,BROCADE RING PURSE,1522.0,265.62,0.2064285714285714,13.0,13.0
2010-11-28,17003,BROCADE RING PURSE,1757.0,338.16999999999996,0.22285714285714286,6.0,4.0
2010-12-05,17003,BROCADE RING PURSE,1596.0,264.48,0.22214285714285714,5.0,4.0
2010-12-12,17003,BROCADE RING PURSE,490.0,107.74000000000001,0.3074285714285714,9.0,4.0
2010-12-19,17003,BROCADE RING PURSE,90.0,22.86,0.3671428571428571,4.0,2.0
2010-12-26,17003,BROCADE RING PURSE,0.0,0.0,0.43,0.0,0.0
2011-01-02,17003,BROCADE RING PURSE,0.0,0.0,0.43,0.0,0.0
2011-01-09,17003,BROCADE RING PURSE,864.0,145.44,0.25857142857142856,3.0,3.0
2011-01-16,17003,BROCADE RING PURSE,8.0,2.12,0.27285714285714285,2.0,1.0
2011-01-23,17003,BROCADE RING PURSE,831.0,139.14000000000001,0.23285714285714285,4.0,3.0
2011-01-30,17003,BROCADE RING PURSE,1440.0,230.4,0.1742857142857143,2.0,1.0
2011-02-06,17003,BROCADE RING PURSE,146.0,31.08,0.225,5.0,4.0
2011-02-13,17003,BROCADE RING PURSE,0.0,0.0,0.21,0.0,0.0
2011-02-20,17003,BROCADE RING PURSE,290.0,84.44,0.3061904761904762,7.0,6.0
2011-02-27,17003,BROCADE RING PURSE,0.0,0.0,0.29,0.0,0.0
2011-03-06,17003,BROCADE RING PURSE,144.0,41.76,0.29,2.0,2.0
